Visa subclass,Base application charge,Additional applicant charge 18 and over,Additional applicant charge under 18,Non-internet application charge,Subsequent temporary application charge
Temporary Activity visa (subclass 408) - Domestic Work for Executives stream ,AUD430.00 ,AUD430.00 ,AUD110.00 ,N/A ,AUD700.00 
Temporary Activity visa (subclass 408) - Entertainment Activities stream ,AUD430.00 ,AUD430.00 ,AUD110.00 ,N/A ,AUD700.00 
Temporary Activity visa (subclass 408) - Other Social and Cultural Activity (Invited Participant) stream ,AUD430.00 ,AUD430.00 ,AUD110.00 ,N/A ,AUD700.00 
Temporary Activity visa (subclass 408) - Religious Work stream ,AUD430.00 ,AUD430.00 ,AUD110.00 ,N/A ,AUD700.00 
Temporary Activity visa (subclass 408) - Research Activities stream ,AUD430.00 ,AUD430.00 ,AUD110.00 ,N/A ,AUD700.00 
Temporary Activity visa (subclass 408) - Special Program stream ,AUD430.00 ,AUD430.00 ,AUD110.00 ,N/A ,AUD700.00 
Temporary Activity visa (subclass 408) - Sporting Activities stream ,AUD430.00 ,AUD430.00 ,AUD110.00 ,N/A ,AUD700.00 
Temporary Activity visa (subclass 408) - Staff Exchange Arrangements stream ,AUD430.00 ,AUD430.00 ,AUD110.00 ,N/A ,AUD700.00 
Temporary Activity visa (subclass 408) - Superyacht Crew stream ,AUD430.00 ,AUD430.00 ,AUD110.00 ,N/A ,AUD700.00 
Temporary Graduate visa (subclass 485) - Post-Higher Education Work stream ,"AUD2,300.00 ","AUD1,150.00 ",AUD580.00 ,AUD80.00 ,N/A 
Temporary Graduate visa (subclass 485) - Post-Vocational Education Work stream ,"AUD2,300.00 ","AUD1,150.00 ",AUD580.00 ,AUD80.00 ,N/A 
Temporary Graduate visa (subclass 485) - Replacement stream ,"AUD2,300.00 ","AUD1,115.00 ",AUD560.00 ,AUD80.00 ,N/A 
Temporary Graduate visa (subclass 485) - Second Post-Higher Education Work stream ,AUD905.00 ,AUD455.00 ,AUD230.00 ,AUD80.00 ,N/A 
Temporary Protection visa (subclass 785) - lodged in Australia by an applicant who is in immigration detention and not immigration cleared ,AUD0.00 ,N/A ,N/A ,N/A ,N/A 
Temporary Protection visa (subclass 785) lodged in Australia ,AUD50.00 ,N/A ,N/A ,N/A ,N/A 
Temporary Work (International Relations) visa (subclass 403) - Domestic Worker (Diplomatic or Consular) stream ,AUD375.00 ,N/A ,N/A ,N/A ,N/A 
Temporary Work (International Relations) visa (subclass 403) - Foreign Government stream ,AUD375.00 ,AUD375.00 ,AUD95.00 ,N/A ,N/A 
Temporary Work (International Relations) visa (subclass 403) - Government Agreement stream ,AUD375.00 ,AUD375.00 ,AUD95.00 ,N/A ,N/A 
Temporary work (International relations) visa (subclass 403) - Mobility Arrangement for Talented Early-professionals Scheme (MATES) ,AUD375.00 ,AUD375.00 ,AUD95.00 ,N/A ,N/A 
Temporary Work (International Relations) visa (subclass 403) - Pacific Australia Labour Mobility stream ,AUD355.00 ,AUD345.00 ,AUD80.00 ,N/A ,N/A 
Temporary Work (International Relations) visa (subclass 403) - Privileges and Immunities stream ,AUD0.00 ,N/A ,N/A ,N/A ,N/A 
Temporary Work (Short Stay Specialist) visa (subclass 400) ,AUD430.00 ,AUD430.00 ,AUD110.00 ,N/A ,N/A 
Training visa (subclass 407) ,AUD430.00 ,AUD430.00 ,AUD110.00 ,N/A ,AUD700.00 
Transit visa (subclass 771) ,AUD0.00 ,N/A ,N/A ,N/A ,N/A 
Visitor visa (subclass 600) - Approved Destination Status stream ,AUD200.00 ,N/A ,N/A ,N/A ,N/A 
Visitor visa (subclass 600) - Business Visitor stream ,AUD200.00 ,N/A ,N/A ,N/A ,N/A 
Visitor visa (subclass 600) - Frequent traveller stream ,"AUD1,480.00 ",N/A ,N/A ,N/A ,N/A 
Visitor visa (subclass 600) - Sponsored Family stream ,AUD200.00 ,N/A ,N/A ,N/A ,N/A 
Visitor visa (subclass 600) Tourist stream - In Australia ,AUD500.00 ,N/A ,N/A ,N/A ,AUD700.00 
Visitor visa (subclass 600) Tourist stream - outside Australia ,AUD200.00 ,N/A ,N/A ,N/A ,N/A 
Work and Holiday visa (subclass 462) - First ,AUD670.00 ,N/A ,N/A ,N/A ,N/A 
Work and Holiday visa (subclass 462) - Second ,AUD670.00 ,N/A ,N/A ,AUD80.00 ,N/A 
Work and Holiday visa (subclass 462) - Third ,AUD670.00 ,N/A ,N/A ,AUD80.00 ,N/A 
Working Holiday visa (subclass 417) - First ,AUD670.00 ,N/A ,N/A ,AUD80.00 ,N/A
Working Holiday visa (subclass 417) - Second ,AUD670.00 ,N/A ,N/A ,AUD80.00 ,N/A 
Working Holiday visa (subclass 417) - Third ,AUD670.00 ,N/A ,N/A ,AUD80.00 ,N/A
